[32m [INFO] [11/26/2025 12:11] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /login | FILE: /Users/niek/Documents/code/github/Niek-CMS/server/auth/authServices.ts | FUNCTION: Login | MESSAGE: Email invalid [0m 
[32m [INFO] [11/26/2025 12:20] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /login | FILE: /Users/niek/Documents/code/github/Niek-CMS/server/auth/authServices.ts | FUNCTION: Login | MESSAGE: Email invalid [0m 
[32m [INFO] [11/26/2025 12:23] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /login | FILE: /Users/niek/Documents/code/github/Niek-CMS/server/auth/authServices.ts | FUNCTION: Login | MESSAGE: Email invalid [0m 
[32m [INFO] [11/26/2025 12:24] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /login | FILE: /Users/niek/Documents/code/github/Niek-CMS/server/auth/authServices.ts | FUNCTION: Login | MESSAGE: Login succesful [0m 
[93m [WARNING] [11/26/2025 12:24] | USER: nogeens@goedtesten1.com | IP: ::ffff:127.0.0.1 | ROUTE: /folderTree | FILE: routes/editRoutes.ts | FUNCTION: folderTree | MESSAGE: [{"success":false,"function":"1","logMessage":"2"},"folderTree","ENOENT: no such file or directory, scandir 'projects/17/'"] [0m 
[32m [INFO] [11/26/2025 12:26] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /login | FILE: /Users/niek/Documents/code/github/Niek-CMS/server/auth/authServices.ts | FUNCTION: Login | MESSAGE: Login succesful [0m 
[93m [WARNING] [11/26/2025 12:26] | USER: nogeens@goedtesten1.com | IP: ::ffff:127.0.0.1 | ROUTE: /folderTree | FILE: routes/editRoutes.ts | FUNCTION: folderTree | MESSAGE: [{"success":false,"function":"1","logMessage":"2"},"folderTree","ENOENT: no such file or directory, scandir 'projects/17/Dir1'"] [0m 
[32m [INFO] [11/26/2025 12:37] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /login | FILE: /Users/niek/Documents/code/github/Niek-CMS/server/auth/authServices.ts | FUNCTION: Login | MESSAGE: Login succesful [0m 
[93m [WARNING] [11/26/2025 12:37] | USER: nogeens@goedtesten1.com | IP: ::ffff:127.0.0.1 | ROUTE: /folderTree | FILE: routes/editRoutes.ts | FUNCTION: folderTree | MESSAGE: [{"success":false,"function":"1","logMessage":"2"},"folderTree","ENOENT: no such file or directory, scandir 'projects/17/Dir1'"] [0m 
[93m [WARNING] [11/26/2025 12:37] | USER: nogeens@goedtesten1.com | IP: ::ffff:127.0.0.1 | ROUTE: /folderTree | FILE: routes/editRoutes.ts | FUNCTION: folderTree | MESSAGE: [{"success":false,"function":"1","logMessage":"2"},"folderTree","ENOENT: no such file or directory, scandir 'projects/17/Dir1'"] [0m 
[32m [INFO] [11/26/2025 12:38] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /register | FILE: /Users/niek/Documents/code/github/Niek-CMS/server/auth/authServices.ts | FUNCTION: Register | MESSAGE: Password too short [0m 
[32m [INFO] [11/26/2025 12:38] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /register | FILE: /Users/niek/Documents/code/github/Niek-CMS/server/auth/authServices.ts | FUNCTION: Register | MESSAGE: Password too short [0m 
[32m [INFO] [11/26/2025 12:42] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /register | FILE: /Users/niek/Documents/code/github/Niek-CMS/server/auth/authServices.ts | FUNCTION: Register | MESSAGE: Password too short [0m 
[32m [INFO] [11/26/2025 12:43] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /register | FILE: /Users/niek/Documents/code/github/Niek-CMS/server/auth/authServices.ts | FUNCTION: Register | MESSAGE: Register succesful [0m 
[32m [INFO] [11/26/2025 13:13] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /forgot | FILE: /Users/niek/Documents/code/github/Niek-CMS/server/auth/authServices.ts | FUNCTION: Forgot | MESSAGE: Email invalid [0m 
[32m [INFO] [11/26/2025 13:13] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /forgot | FILE: /Users/niek/Documents/code/github/Niek-CMS/server/auth/authServices.ts | FUNCTION: Forgot | MESSAGE: Reset email sent [0m 
[32m [INFO] [11/26/2025 13:14] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /register | FILE: /Users/niek/Documents/code/github/Niek-CMS/server/auth/authServices.ts | FUNCTION: Register | MESSAGE: Register succesful [0m 
[32m [INFO] [11/26/2025 13:14] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /login | FILE: /Users/niek/Documents/code/github/Niek-CMS/server/auth/authServices.ts | FUNCTION: Login | MESSAGE: Login succesful [0m 
[93m [WARNING] [11/26/2025 13:14] | USER: niekamperse2@proton.me | IP: ::ffff:127.0.0.1 | ROUTE: /folderTree | FILE: routes/editRoutes.ts | FUNCTION: folderTree | MESSAGE: [{"success":false,"function":"1","logMessage":"2"},"folderTree","ENOENT: no such file or directory, scandir 'projects/20/'"] [0m 
[32m [INFO] [11/26/2025 13:14] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /forgot | FILE: /Users/niek/Documents/code/github/Niek-CMS/server/auth/authServices.ts | FUNCTION: Forgot | MESSAGE: Reset email sent [0m 
